CTOD,Stress
2.878,3.3686
2.879,4.0492
2.898,4.1552
2.912,3.1548
2.912,3.2157
2.964,5.0382
2.996,3.6465
3.006,2.4951
3.014,2.2994
3.024,3.7231
3.029,3.1228
3.061,4.8037
3.109,3.4178
3.118,2.6283
3.125,3.0248
3.128,3.943
3.143,3.5956
3.157,4.2237
3.179,3.2595
3.183,2.7439
3.212,3.0035
3.221,3.0497
3.28,3.33
3.324,3.4648
3.37,3.8764
3.371,3.0944
3.372,2.2021
3.377,3.1018
3.385,3.2453
3.422,2.8416
3.43,2.279
3.476,1.7391
3.478,2.8943
3.514,3.0365
3.538,3.9021
3.558,2.832
3.565,2.7794
3.567,3.144
3.603,2.1903
3.611,2.8214
3.64,2.5113
3.657,2.9611
3.674,2.8093
3.679,3.0503
3.688,2.8581
3.711,2.2759
3.745,3.7663
3.765,2.6297
3.79,3.0675
3.791,2.9413
3.836,3.1953
3.96,2.9454
3.983,2.8876
4.006,3.1059
4.029,3.5723
4.11,2.7872
4.218,2.9794
4.227,2.6316
4.255,2.8792
4.283,3.1853
4.349,2.501
4.357,3.6968
4.412,3.0942
4.417,2.4356
4.434,2.8763
4.443,2.0022
4.45,1.6486
4.452,3.1811
4.458,2.1723
4.538,1.9507
4.631,3.3376
4.656,2.8174
4.656,3.2862
4.699,2.0433
4.85,3.3281
4.862,2.0296
4.877,2.206
4.906,3.3765
4.928,1.708
4.928,1.9307
4.957,1.6912
4.963,3.2747
4.985,2.2075
5.019,1.784
5.085,2.9631
5.112,1.9457
5.225,1.9235
5.274,2.5029
5.275,2.7921
5.284,2.5179
5.464,2.6166
5.467,1.9639
5.485,2.0851
5.535,1.9771
5.542,2.1802
5.549,2.6346
5.661,1.8921
5.679,2.7301
5.78,2.183
5.843,1.8414
5.855,1.9438
5.945,2.8184
5.983,2.0449
5.992,1.8172
6.012,1.9085
6.033,2.1813
6.158,2.6306
6.189,1.746
6.215,2.8691
6.259,1.8463
6.387,1.5679
6.431,2.8168
6.518,1.7281
6.574,1.9488
6.592,1.4408
6.597,2.1864
6.608,2.4635
6.625,1.5941
6.723,1.9255
6.753,1.8847
6.784,1.3814
6.797,2.0434
6.847,1.951
6.993,1.2498
6.996,1.5927
7.045,1.9517
7.071,1.697
7.173,1.9991
7.236,1.6843
7.248,1.276
7.284,1.752
7.462,1.6783
7.466,1.6046
7.475,1.7543
7.548,1.924
7.573,1.5538
7.649,2.1613
7.741,1.5354
7.775,1.8214
7.963,1.7943
8.071,1.3303
8.11,1.7506
8.121,1.4232
8.135,1.7622
8.184,2.0862
8.356,1.3061
8.377,1.0737
8.388,1.9424
8.597,1.5669
8.636,1.7357
8.661,1.0973
8.698,1.2161
8.744,2.0638
8.899,1.1669
8.926,1.0526
8.969,1.4049
9.081,1.0792
9.178,1.0497
9.218,1.2674
9.25,1.0972
9.265,1.0293
9.374,1.4432
9.416,1.0367
9.456,1.8307
9.515,1.2687
9.619,0.98558
9.673,1.4307
9.72,1.3783
9.789,1.3521
9.869,1.1822
9.877,1.0486
9.948,1.3313
9.998,0.935
10.146,1.3194
10.167,1.2722
10.211,1.0
10.293,1.0166
10.367,1.2451
10.469,1.25
10.512,0.97272
10.757,1.1642
10.777,0.80424
10.799,0.99459
10.803,1.0504
10.826,1.1985
10.927,0.92853
11.048,0.79198
11.085,0.85729
11.103,1.2298
11.335,0.86429
11.382,0.76501
11.465,1.1004
11.526,0.85143
11.551,0.95572
11.555,1.0444
11.629,1.1027
11.646,0.81438
11.673,0.87548
11.798,0.76723
11.877,0.69625
11.905,0.95918
12.025,0.84486
12.108,0.76728
12.209,0.85786
12.316,0.87792
12.334,0.81728
12.351,0.86132
12.397,0.96069
12.461,0.75811
12.539,0.96113
12.644,0.87443
12.752,0.64677
12.84,1.0109
12.868,0.88068
12.877,0.69312
13.037,0.79526
13.08,0.90045
13.095,0.60075
13.165,0.70011
13.219,0.77838
13.304,0.59931
13.403,0.52085
13.412,0.47463
13.488,0.59177
13.57,0.6533
13.614,0.49478
13.639,0.63016
13.73,0.47154
13.749,0.87278
13.817,0.57258
13.949,0.37492
14.048,0.65661
14.135,0.43886
14.164,0.7668
14.194,0.2926
14.223,0.56103
14.304,0.72528
14.424,1.0257
14.435,0.47126
14.546,0.64802
14.589,0.5409
14.612,0.38335
14.747,0.58665
14.855,1.0907
14.959,0.74836
15.008,0.50655
15.084,0.74282
15.109,0.39479
15.364,0.56645
15.551,0.30057
15.673,0.5009
15.673,0.84884
15.754,0.45958
15.782,0.67481
16.021,0.23814
16.174,0.44906
16.268,0.62162
16.338,0.38534
16.442,0.30684
16.506,0.45961
16.656,0.57846
16.832,0.46155
16.867,0.27726
16.884,0.57852
16.916,0.3965
17.143,0.51924
17.296,0.2862
17.501,0.52241
17.517,0.59381
17.519,0.44016
17.531,0.62239
17.697,0.32696
18.011,0.24386
18.035,0.60273
18.128,0.60373
18.24,0.53427
18.304,0.23711
18.37,0.31024
18.525,0.44357
18.611,0.24701
18.727,0.69294
18.85,0.22842
18.872,0.30195
18.964,0.36347
19.136,0.3497
19.137,0.20933
19.181,0.2566
19.34,0.57373
19.417,0.27876
19.517,0.24107
19.61,0.30883
19.685,0.37425
19.831,0.29501
19.843,0.44203
19.873,0.21584
19.933,0.37767
20.07,0.3313
20.285,0.26854
20.321,0.43831
20.332,0.18804
20.506,0.24932
20.57,0.34335
20.657,0.4287
20.825,0.20573
20.852,0.35048
20.941,0.36388
20.952,0.21026
21.177,0.29438
21.267,0.1471
21.426,0.2701
21.516,0.25498
21.521,0.26197
21.529,0.36235
21.656,0.13293
21.844,0.32324
21.906,0.22415
22.039,0.16523
22.112,0.52914
22.283,0.17615
22.308,0.17798
22.366,0.17756
22.668,0.15145
22.685,0.25085
22.699,0.49463
22.962,0.21533
22.968,0.21608
23.036,0.19996
23.308,0.24035
23.36,0.33416
23.485,0.19459
23.686,0.34163
23.704,0.2058
23.942,0.19716
24.058,0.20905
24.168,0.15232
24.358,0.16645
24.489,0.27224
24.674,0.12081
24.731,0.19586
